name,photo,country,flag,scholar
"João Gama",joao_gama.webp,Portugal,"🇵🇹",https://scholar.google.com.br/citations?user=jjoTZfoAAAAJ
"Albert Bifet",albert_bifet.webp,"New Zealand","🇳🇿",https://scholar.google.com.br/citations?user=UYvAL8EAAAAJ
